евгений: евгений 
шепелев: шепелев 
редактор: редактор 
учебник: учебник 
сравнятор: сравнятор 
сообщество: сообщество 
ипотека: ипотека 
кредитный: кредитная 
история: история 
тест: тесты 
дневник: дневники дневник 
трата: трат 
налоговый: налоговый 
вычет: вычет 
написать: написать 
инвестиция: инвестиции инвестициях 
бизнес: бизнес 
разбор: разборы 
закон: законов 
калькулятор: калькуляторы 
путешествие: путешествия 
медицина: медицина 
здоровье: здоровье 
недвижимость: недвижимость 
подкаста: подкасты 
видео: видео 
смотреть: смотреть 
сервис: сервисы 
расчет: расчеты 
закладка: закладки 
письмо: письма 
оставаться: оставайтесь 
деньги: деньгами 
поток: потоки 
подписываться: подписаться 
частный: частный 
инвестор: инвестор 
инвестировать: инвестирую 
ценный: ценные 
бумага: бумаги 
биржа: бирже 
год: года 
использовать: использовал 
металлический: металлические 
счет: счета 
паевой: паевые 
фонд: фондах фонды 
разбираться: разбираюсь 
распределение: распределении 
актив: активов 
пассивный: пассивных 
биржевой: биржевых 
fire: fire 
статья: статей 
комментарий: комментариев 
вакансия: вакансии 
сообщать: сообщить 
проблема: проблеме 
проект: проекте 
контакт: контакты 
политика: политика 
конфиденциальность: конфиденциальности 
правило: правила 
пользование: пользования 
сайт: сайтом 
выходить: выйти 
ао: ао 
банк: банк 
лицензия: лицензия 
