учебник: учебник учебнике учебника 
сравнятор: сравнятор 
сообщество: сообщество 
ипотека: ипотеку ипотека 
кредитный: кредитная 
история: историю история 
тест: тесты 
дневник: дневник 
трата: трат 
налоговый: налоговый 
вычет: вычет 
легкое: легкие 
деньги: деньги 
жизнь: жизнь 
любовь: любовью 
скидка: скидки скидку скидка 
промокод: промокоду 
lublu: lublu 
тот: тех 
любить: любит 
знание: знания 
неделя: неделю 
февраль: февраля 
находить: найти 
подходить: подходящую 
вакансия: вакансию 
рассказывать: рассказать рассказываем 
подготавливаться: подготовиться 
рождение: рождению 
ребенок: детьми ребенка 
выбирать: выбрать 
квартира: квартиру 
карьера: карьеру 
душа: душе 
правильно: правильно 
питаться: питаться 
начинающий: начинающих 
упрощать: упрощаем 
помощь: помощью 
таблица: таблиц 
генеалогия: генеалогия 
исследовать: исследуем 
собственный: собственную 
обсуждать: обсуждать 
условие: условия 
новый: новые новой 
работа: работе 
ухаживать: ухаживать 
кожа: кожей 
озеленять: озеленить 
дом: дом 
начинать: начать 
заканчивать: закончить 
большой: большое 
дело: дело 
сделать: сделать сделаем 
ремонт: ремонт 
сходить: сойти 
ум: ума 
собеседование: собеседованию 
приложение: приложение 
тинькофф: тинькофф 
журнал: журнала 
курс: курсами курс 
айфон: айфон 
андроид: андроид 
узнавать: узнать узнаете 
устраивать: устроено 
обучение: обучение 
посмотреть: посмотреть 
говорить: говорить 
урок: уроков урока 
мина: мин 
финансовый: финансовая 
грамотность: грамотность 
взрослый: взрослых взрослым 
использовать: использовать 
кредитка: кредитку 
богатеть: богатеть 
инвестировать: инвестировать 
защищаться: защититься 
мошенник: мошенников 
взять: взять 
прогадывать: прогадать 
зарабатывать: заработать 
акция: акциях 
продвигать: продвинутых 
кто: кому 
становиться: становиться стать 
самозанимать: самозанятым 
защищать: защитить 
свой: свои 
право: права 
ваш: вашей 
цена: цене 
компания: компаний 
курсы: курсы 
оплачивать: оплатить 
доступ: доступов 
купить: купить 
здоровье: здоровье 
разоряться: разориться 
побеждать: победить 
выгорание: выгорание 
ссылка: ссылка 
телегр: телеграм 
группа: группу 
вконтакте: вконтакте 
соцсеть: соцсети 
делиться: делимся 
лайфхак: лайфхаками 
шутить: шутим 
образование: образование 
помогать: помогаем помогать 
учиться: учиться 
секрет: секреты 
создавать: создаем 
общаться: общаться 
понимать: понимать 
друг: друг друга 
минута: минут 
воспитывать: воспитать 
собака: собаку 
экология: экология 
сортировать: сортировать 
мусор: мусор 
другой: другим 
автомобилист: автомобилистом 
жкхакер: жкхакер 
приводить: привести 
порядок: порядок 
подъезд: подъезд 
двор: двор 
подход: подходе 
оставлять: оставьте 
почитать: почту 
первый: первыми 
юридический: юридическая 
информация: информация 
сообщать: сообщить 
проблема: проблеме 
контакт: контакты 
выходить: выйти 
ано: ано 
дпо: дпо 
