дневник: дневники дневник 
трата: трат 
жить: живут живет 
человек: люди 
разный: разными 
зарплата: зарплатой зарплатами 
город: городах 
россия: россии 
учебник: учебник 
сравнятор: сравнятор 
сообщество: сообщество 
ипотека: ипотека 
кредитный: кредитная 
история: историей история 
тест: тесты 
налоговый: налоговый 
вычет: вычет 
написать: написать 
инвестиция: инвестиции 
бизнес: бизнес 
разбор: разборы 
закон: законов 
калькулятор: калькуляторы 
путешествие: путешествия 
медицина: медицина 
здоровье: здоровье 
недвижимость: недвижимость 
подкаста: подкасты 
видео: видео 
смотреть: смотреть 
сервис: сервисы 
расчет: расчеты 
закладка: закладки 
письмо: письма 
оставаться: оставайтесь 
деньги: деньгами 
поток: потоки 
читатель: читатели 
делиться: делятся 
неделя: неделей 
свой: свой своей 
жизнь: жизнь жизни 
текст: текст 
mrs: mrs 
fairytale: fairytale 
изменяться: изменились изменилась 
руководитель: руководителя 
отдел: отдела 
декрет: декрете 
аланья: аланьей аланье 
доход: доходом 
электрик: электрик 
дежурный: дежурный 
электромонтер: электромонтер 
новосибирск: новосибирске 
деловой: деловой 
кролик: кролик 
экономист: экономист 
москва: москве 
делать: делать 
дискуссия: дискуссии 
косметичка: косметичка 
бесить: бесит 
посторонний: посторонним 
директор: директор 
розничный: розничной 
сеть: сети 
поволжье: поволжье 
little: little 
hippo: hippo 
бали: бали 
агент: агент 
специалист: специалист специалиста 
становиться: станьте 
герой: героем 
новое: нового 
материал: материала 
рассказывать: расскажите 
вести: ведете 
конспект: конспекты 
учеба: учебе 
работа: работе работы 
отношение: отношения 
ваш: вашей 
семья: семье 
рождение: рождения 
ребенок: ребенка 
усыновлять: усыновили 
взять: взяли 
опека: опеку 
поделиться: поделитесь 
собирать: собираете 
коллекция: коллекцию 
показывать: покажите 
чебурек: чебурек 
ереван: ереване 
около: около 
опера: опер 
владелец: владелец 
пвз: пвз 
оператор: оператор 
установка: установки 
нефтяной: нефтяной 
компания: компании 
уфа: уфе 
аноним: аноним 
безработный: безработный 
студент: студент 
сбережение: сбережения 
студентка: студентка 
биоинформатика: биоинформатик 
немецкий: немецком 
киль: киле 
репетитор: репетитора 
русский: русскому 
язык: языку 
белград: белграде 
фрилансер: фрилансер 
кемерово: кемерове 
менеджер: менеджер 
реклама: рекламе 
подмосковье: подмосковье 
инженер: инженер 
приволжский: приволжском 
федеральный: федеральном 
округ: округе 
преподаватель: преподаватель 
колледж: колледжа 
красноярск: красноярске 
бухгалтер: бухгалтера 
крым: крыму 
закупка: закупкам 
батуми: батуми 
пособие: пособием 
бывший: бывший 
учитель: учитель 
физкультура: физкультуры 
маркетинг: маркетингу 
пункт: пункта 
выдача: выдачи 
маркетплейс: маркетплейса 
воронеж: воронеже 
детский: детский 
стоматолог: стоматолог 
север: севере 
израиль: израиля 
вакансия: вакансии 
сообщать: сообщить 
проблема: проблеме 
проект: проекте 
контакт: контакты 
политика: политика 
конфиденциальность: конфиденциальности 
правило: правила 
пользование: пользования 
сайт: сайтом 
выходить: выйти 
ао: ао 
банк: банк 
лицензия: лицензия 
