циан: циан 
подборка: подборка 
материал: материалов 
учебник: учебник 
сравнятор: сравнятор 
сообщество: сообщество 
ипотека: ипотека 
кредитный: кредитная 
история: историю история 
тест: тесты 
дневник: дневники дневник 
трата: трат 
налоговый: налоговый 
вычет: вычет 
написать: написать 
инвестиция: инвестиции 
бизнес: бизнес 
разбор: разборы 
закон: законов 
калькулятор: калькуляторы 
путешествие: путешествия 
медицина: медицина 
здоровье: здоровье 
недвижимость: недвижимость 
подкаста: подкасты 
видео: видео 
смотреть: смотреть 
сервис: сервисы 
расчет: расчеты 
закладка: закладки 
письмо: письма 
оставаться: оставайтесь 
деньги: деньгами 
поток: потоки 
никита: никита 
компанищенко: компанищенко 
инвестразбор: инвестразборы 
какой: каких 
российский: российских 
бумага: бумаг 
избавляться: избавлялись 
крупный: крупные 
акционер: акционеры 
год: году 
отчет: отчет 
квартал: квартале 
самый: самые 
сильный: сильные 
финансовый: финансовые 
результат: результаты 
компания: компании 
вакансия: вакансии 
сообщать: сообщить 
проблема: проблеме 
проект: проекте 
контакт: контакты 
политика: политика 
конфиденциальность: конфиденциальности 
правило: правила 
пользование: пользования 
сайт: сайтом 
выходить: выйти 
ао: ао 
банк: банк 
лицензия: лицензия 
