михаил: михаил 
болд: болдов 
автор: автор 
учебник: учебник 
сравнятор: сравнятор 
сообщество: сообщество 
ипотека: ипотека 
кредитный: кредитная 
история: история 
тест: тесты 
дневник: дневники дневник 
трата: трат 
налоговый: налоговый 
вычет: вычет 
написать: написать 
инвестиция: инвестиции 
бизнес: бизнес 
разбор: разборы 
закон: законов 
калькулятор: калькуляторы 
путешествие: путешествия 
медицина: медицина 
здоровье: здоровье 
недвижимость: недвижимость 
подкаста: подкасты 
видео: видео 
смотреть: смотреть 
сервис: сервисы 
расчет: расчеты 
закладка: закладки 
письмо: письма 
оставаться: оставайтесь 
деньги: деньгами 
поток: потоки 
подписываться: подписаться 
частный: частный 
инвестор: инвестор 
магистерский: магистерским 
диплом: дипломом 
специальность: специальности 
кредит: кредит 
работать: работаю 
фондовый: фондовом 
рынок: рынке 
год: лет 
самостоятельно: самостоятельно 
отбирать: отбираю 
ценный: ценные 
бумага: бумаги 
портфель: портфель 
основание: основании 
фундаментальный: фундаментального 
анализ: анализа 
вести: веду 
блог: блог 
посвящать: посвященный 
финансовый: финансовой 
грамотность: грамотности 
статья: статьи 
комментарий: комментариев 
вакансия: вакансии 
сообщать: сообщить 
проблема: проблеме 
проект: проекте 
контакт: контакты 
политика: политика 
конфиденциальность: конфиденциальности 
правило: правила 
пользование: пользования 
сайт: сайтом 
выходить: выйти 
ао: ао 
банк: банк 
лицензия: лицензия 
