инвестиция: инвестиции 
учебник: учебник 
сравнятор: сравнятор 
сообщество: сообщество 
ипотека: ипотека 
кредитный: кредитная 
история: история 
тест: тесты 
дневник: дневники дневник 
трата: трат 
налоговый: налоговый 
вычет: вычет 
написать: написать 
бизнес: бизнес 
разбор: разборы 
закон: законов 
калькулятор: калькуляторы 
путешествие: путешествия 
медицина: медицина 
здоровье: здоровье 
недвижимость: недвижимость 
подкаста: подкасты 
видео: видео 
смотреть: смотреть 
сервис: сервисы 
расчет: расчеты 
закладка: закладки 
письмо: письма 
оставаться: оставайтесь 
деньги: деньгами деньги 
поток: потоки 
повлиять: повлиять 
ваш: ваши 
сбережение: сбережения 
матчасть: матчасть 
обзор: обзоры 
стратегия: стратегий 
компания: компаний 
инвестидея: инвестидеи 
саша: саша 
кириллов: кириллова 
экономика: экономика 
новый: новые новой новая 
волна: волна 
сокращение: сокращений 
мировой: мировых 
сотрудник: сотрудников 
увольнять: увольняют 
google: google 
spotify: spotify 
другой: другие 
игорь: игорь 
морошкин: морошкин 
инвестразбор: инвестразборы 
отчет: отчетов отчет 
group: group 
год: год году года 
большинство: большинство 
показатель: показателей 
вырастать: выросли выросло 
биржевой: биржевые 
фонд: фонды 
вложение: вложения 
российский: российский российские 
облигация: облигации 
почитать: почитать 
начинающий: начинающих 
продвигать: продвинутых 
виктор: виктор 
джин: джин 
сколько: сколько 
зарабатывать: заработали 
потерять: потеряли 
инвестор: инвесторы инвесторов 
николай: николай 
валюха: валюх 
сша: сша 
стартовать: стартовал 
сезон: сезон 
почему: почему 
прибыль: прибыль 
упасть: упала упасть 
михаил: михаил 
болд: болдов 
такой: такое 
манипуляция: манипуляции 
фондовый: фондовой 
биржа: бирже 
становиться: стать 
жертва: жертвой 
жулькин: жулькин 
цб: цб 
выпускать: выпустил 
игра: игру 
нужно: нужно 
бороться: бороться 
инфляция: инфляция инфляцией 
городилов: городилов 
hennessy: hennessy 
louis: louis 
vuitton: vuitton 
важный: важные 
вещь: вещи 
устраивать: устроен 
lvmh: lvmh 
евросоюз: евросоюзе 
дефицит: дефицит 
лекарство: лекарств 
знать: знать 
артем: артем 
мазан: мазанов 
новость: новости 
называть: назвал 
спрос: спрос 
валюта: валюту 
один: одной 
причина: причин 
падение: падения 
рубль: рублем рубля рубль 
декабрь: декабре 
никита: никита 
компанищенко: компанищенко 
мосбиржа: мосбирже мосбиржи 
инструмент: инструменты 
восстановление: восстановление 
рынок: рынок рынки рынка 
вдо: вдо 
статистика: статистики 
ретейл: ретейл 
трансформировать: трансформирует 
свой: свой 
экономический: экономический 
рост: рост 
мнение: мнения мнение 
крах: краха 
доллар: доллара 
роман: роман 
романович: романович 
сбербанк: сбербанка 
вопреки: вопреки 
санкция: санкциям 
способ: способ 
вложиться: вложиться 
акция: акции 
юлия: юлия 
семенюк: семенюк 
говорить: говорят 
инфляционный: инфляционные 
ожидание: ожидания 
headhunter: headhunter 
сделка: сделки 
kismet: kismet 
capital: capital 
ждать: ждет 
бюджет: бюджете 
вадим: вадим 
кизимов: кизимов 
итог: итоги 
торги: торгов 
план: планы 
развитие: развитию 
воодушевлять: воодушевили 
инвестредакция: инвестредакция 
инвестник: инвестник 
юань: юани 
поддерживать: поддержат 
ниже: ниже 
фрс: фрс 
намерен: намерена 
далеко: дальше 
избивать: избивать 
спать: спят 
разбирать: разбираем 
продолжение: продолжение 
знаменитый: знаменитого 
фильм: фильма 
оливер: оливера 
стоун: стоуна 
сергей: сергей 
стаценко: стаценко 
поставщик: поставщик 
размещать: разместил 
предлагать: предлагает 
годовой: годовых 
минфин: минфин 
возвращаться: возвращаются 
валютный: валютный 
главный: главные 
событие: события 
последний: последних 
два: двух 
неделя: недель 
оферта: оферта 
увеличение: увеличение 
дивиденд: дивидендов 
вакансия: вакансии 
сообщать: сообщить 
проблема: проблеме 
проект: проекте 
контакт: контакты 
политика: политика 
конфиденциальность: конфиденциальности 
правило: правила 
пользование: пользования 
сайт: сайтом 
выходить: выйти 
ао: ао 
банк: банк 
лицензия: лицензия 
